"","Domain","Supergroup","Division","Subdivision","Class","Order","Family","Genus","Species"
"95672a96ba78f41d32f5868cd518a87a","Eukaryota"," Obazoa"," Opisthokonta"," Fungi"," Basidiomycota"," Agaricomycotina"," Agaricomycetes"," Botryohypochnus"," Botryohypochnus_isabellinus"
"39e9d7cb2c8f08cc21ea456814d3ec6f","Eukaryota"," TSAR"," Stramenopiles"," Gyrista"," Phaeophyceae"," Phaeophyceae_X"," Phaeophyceae_XX"," Saccorhiza"," Saccorhiza_polyschides"
"5a1e353cf9026375949e3216112bf26a","Eukaryota"," Obazoa"," Opisthokonta"," Metazoa"," Craniata"," Craniata_X","","",""
"98e90a2c756a507bc30cbfa4d0ba7cca","Eukaryota"," Archaeplastida"," Streptophyta"," Streptophyta_X"," Embryophyceae"," Embryophyceae_X"," Embryophyceae_XX","",""
"a000b287b20863e26737eb9546b56c82","Eukaryota"," TSAR"," Stramenopiles"," Gyrista"," Chrysophyceae"," Ochromonadales"," Ochromonadales_X"," Ochromonadales_XX"," Ochromonadales_XX_sp."
"6acba11290eb0cc5ef0ed98532ddcffa","Eukaryota"," Obazoa"," Opisthokonta"," Fungi"," Basidiomycota"," Ustilaginomycotina"," Exobasidiomycetes"," Exobasidiomycetes_X"," Exobasidiomycetes_X_sp."
"b55993d28d1272364d3d062fc15bbcc2","Eukaryota"," TSAR"," Alveolata"," Dinoflagellata"," Dinophyceae","","","",""
"fb4ade25276a2d6ce3464fd04e8467c7","Eukaryota"," Obazoa"," Opisthokonta"," Fungi"," Basidiomycota"," Agaricomycotina"," Agaricomycetes"," Itersonilia"," Itersonilia_perplexans"
"8cf1de80f6c4fb75463e4ec3ee0e36c4","Eukaryota"," TSAR"," Alveolata"," Dinoflagellata"," Dinophyceae"," Gymnodiniales"," Gymnodiniaceae"," Gymnodinium"," Gymnodinium_sp."
"cb45124d586cba54db36c3ce6040266d","Eukaryota"," Obazoa"," Opisthokonta"," Fungi"," Basidiomycota"," Ustilaginomycotina"," Exobasidiomycetes","",""
"bfc384df9c05e53cfdd4b108efa04b4f","Eukaryota"," Archaeplastida"," Streptophyta"," Streptophyta_X"," Embryophyceae"," Embryophyceae_X"," Embryophyceae_XX"," Brassica"," Brassica_oleracea"
"31a56071ef7c329a304de29841e11eb2","Eukaryota"," Obazoa"," Opisthokonta"," Metazoa"," Arthropoda"," Hexapoda"," Insecta"," Otitesella"," Otitesella_tsamvi"
"bc3b1d417adc4716cf0898093533cdc0","Eukaryota"," Obazoa"," Opisthokonta"," Fungi"," Basidiomycota"," Agaricomycotina"," Agaricomycetes"," Athelia"," Athelia_sp."
"a8488ce5bd195645f69a7d1f50d4af2e","Eukaryota"," Obazoa"," Opisthokonta"," Fungi"," Basidiomycota"," Agaricomycotina"," Agaricomycetes","",""
"108777c16925cb7d591f3f007d315cbd","Eukaryota"," TSAR"," Alveolata"," Dinoflagellata"," Dinophyceae"," Prorocentrales"," Prorocentraceae"," Prorocentrum",""
