ASV_ID;Domain;Supergroup;Division;Subdivision;Class;Order;Family;Genus;Species
55804bd8270ebbd21b57a08eccffd06f;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
670453ad6b1422d3911e916ee6f20b9e;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
7595301e6f16f78aa511d45630c3ec2e;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
654ad0a800ff57f745114ab5bc364220;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
4e1bce581ffe0fc0e3d5b6a1efb92806;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
417ee75ca5f15ce391382640e33020f5;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
b093b9deb1eed5e248e16102315793cf;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
957817a47acdf101c26e84372278ac3a;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
fe0c8d7dc9dc028144a5b87bce3d16e0;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
4aab45deed369849f2d7068d61af90db;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
d6db38c51fa420511d37ae57fecdf6fd;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
69698c25e97bff230af61f494df7e2e6;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
be4acf10752487e701b700679d136671;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
8cb3b40cddc713f0f87ae79c1ada021e;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
427d9d9857708c6fab0209ade340f124;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
7bcee7fdf8010b2cc78f75f1dac84333;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
a41abbcf80d2afea49a6c8a29ee3f33e;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
8275a25c653d03b1c2f7387484e27dfc;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
36d40bb223fb9220d5a89c5299a98849;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
7743b2053a392e844ad760adc643e7dc;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
95e77b0d142d67757940f70905a42d9e;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
7ea069594ef53fe39edc42e59c6c7035;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
3a71256d8fb54116cc2fe15d1c6eb99a;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
dd12de03cd09e2ddf2c94a38c819be42;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
dca1ad22b4025c69553d72377b0b26dc;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
c1bb160a0fede22faab8597ee3c4b503;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
fe510f10d943c4c3d0e7cb76f50d5c6f;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
30dcd7814231b52205c1582aa45f7ef7;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
c72b08f94e726392fc38387ccd3c9803;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
2cb95d8297cf20d0acffb0b9f937e111;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
5c92620babe76fab8a28deb8bc3f1f45;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
df128f99278cee0179cec4e6c3bf6ab6;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
1aa3724f384cc57052fb2b82b2a89f5a;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
4cf43ab0d230c98f8ec2e0d6c17bf06b;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
779eaa57dc5bdcf55775e3d27c7c5407;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
a881f43e1a45fa67d761d5591e9b5a7b;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
6022f59707d18e56d06c13e7c0c0ab13;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
3ee93d31c57029a5aa962672d805cd91;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
e79a1048a8a516f203bde92d426be52d;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
07090e70c324e2dfc5749904cd5b30af;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
163f0666c7f0b6cda58d4fce4b4143dd;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
a15c983a571e596c39a1656346f6c4fc;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
